context,label_score,label
"To determine trust in model predictions, current works typically use (a) explainability methods (XAI) [11]–[13]; which, though explainable, post-hoc and suitable for providing qualitative insights, require humans to oversee the explanations and are not directly actionable for continuous and automated model monitoring; or (b) uncertainty estimation techniques [6], [14]–[18]; that are difficult to train or are computationally expensive.",0.0,Neutral
"We don’t compare with methods that are not post-hoc, that require exposure to outliers, or are not actionable (most existing XAI methods) to match model monitoring settings.",0.0,Neutral
"XAI methods provide complementary, post-hoc explanations to the predictions of black-box models to induce trust.",0.0,Neutral
"Dialogue summarization, a recently popular subfield of text summarization, has more challenging factual issues involved (Wang et al., 2022; Gao and Wan, 2022).",0.0,Neutral
"The outputs of each system on the SAMSum test set are obtained from DialSummEval (Gao and Wan, 2022).",0.5,Weak
DialSummEval: Revisiting summarization evaluation for dialogues.,0.0,Neutral
"The DialSummEval (Gao and Wan, 2022) benchmark is a summarization evaluation benchmark created following the format of SummEval (Fabbri et al., 2021) for the domain of dialogue summarization.",0.0,Neutral
"The DialSummEval (Gao and Wan, 2022) benchmark is a summarization evaluation benchmark created following the format of SummEval (Fabbri et al.",0.0,Neutral
", 2022) and DialSummEval (Gao and Wan, 2022) and uncover limitations that guide the design principles of the SUMMEDITS benchmark we build.",0.5,Weak
"Prior work (Kryściński et al., 2020; Fabbri et al., 2021; Gao and Wan, 2022) has annotated corpora Human Perform.",0.0,Neutral
"In this section we analyze two popular benchmarks for factual consistency detection in summarization: AggreFact (Tang et al., 2022) and DialSummEval (Gao and Wan, 2022) and uncover limitations that guide the design principles of the SUMMEDITS benchmark we build.",0.5,Weak
"In DialSummEval, each (dialogue, summary) tuple is evaluated by three annotators, each assigning a Likert score (1-5) assessing the consistency of the summary.",0.0,Neutral
"Although most annotation effort has focused on the summarization of news, some prior work also looked at dialogue summarization (Gao and Wan, 2022), or the medical domain (Tang et al.",0.0,Neutral
"Following previous research (Gao and Wan, 2022; Kryscinski et al., 2019), we demand human annotators evaluate samples on the summary level from the following three aspect: Relevance measures how well the question summary captures the main concerns of the patient’s questions.",0.5,Weak
"∗ Equal contribution for manual evaluation (Bhandari et al., 2020; Fabbri et al., 2022a; Gao and Wan, 2022).",0.0,Neutral
"Thus, recent efforts have focused on aggregating model outputs and annotating quality dimensions to better assess summarization model and metric progress (Huang et al., 2020; Bhandari et al., 2020; Stiennon et al., 2020; Zhang and Bansal, 2021; Fabbri et al., 2022a; Gao and Wan, 2022).",0.0,Neutral
", 2021b) and DialSummEval (Gao and Wan, 2022) collections of system summaries, respectively, rather than generating summaries from scratch.",0.0,Neutral
"With each dataset we collect system summaries for a set of 100 randomly selected samples from the test set, following recent work on measuring correlations between metrics (Bhandari et al., 2020; Fabbri et al., 2021b; Gao and Wan, 2022).",0.5,Weak
"12https://github.com/PKULCWM/PKUSUMSUM is used for Lead, LexPageRank, and ClusterCMRW
13https://github.com/RaRe-Technologies/ gensim
14https://pypi.org/project/ bert-extractive-summarizer/
15https://github.com/Yale-LILY/SummEval 16https://github.com/kite99520/
DialSummEval
Models: LEAD-3, LONGEST-3, Pointergenerator (See et al., 2017), Transformer (Vaswani et al., 2017), BART (Lewis et al., 2019), Pegasus (Zhang et al., 2020), UniLM (Dong et al., 2019), CODS (Wu et al., 2021), ConvoSumm (Fabbri et al., 2021a), MV-BART (Chen and Yang, 2020), PLM-BART (Feng et al., 2021), Ctrl-DiaSumm (Chen et al., 2021), S-BART (Chen and Yang, 2021).",0.0,Neutral
"Evaluation metrics have also been reevaluated in the context of scientific articles (Cohan and Goharian, 2016), and more recently, dialogues (Gao and Wan, 2022), both using single documents as input.",0.0,Neutral
"For comparable results, for the CNN/DM (Hermann et al., 2015) and SAMSum (Gliwa et al., 2019) datasets, we use the model outputs from the SummEval (Fabbri et al., 2021b) and DialSummEval (Gao and Wan, 2022) collections of system summaries, respectively, rather than generating summaries from scratch.",0.5,Weak
"According to stakeholders considered in the algorithm, there are user-side fairness [15], item-side fairness [14, 20], and two-sided fairness [35, 36].",0.0,Neutral
"Compared to some fairness-aware studies [19, 35, 36], although they can also achieve systemic group exposure regulation, they do not take userlevel calibration into consideration.",0.0,Neutral
"Recommender systems are known to suffer from exposure bias; few items are over-exposed in the recommendation lists, while the majority of other items are under-exposed [1, 7, 12, 23].",0.0,Neutral
"• What metrics and summary statistics usefully capture the distributional efects of a system within a stakeholder class or across stakeholder classes? There are several promising directions here, including the Expected Exposure construct [28] and its multi-sided extension [81] along with positive-sum aggregation of utility across user subgroups [80].",0.0,Neutral
"0K gender, age, occupation category timestamps ✓ ✓ ✓ [39, 41, 63, 86, 122, 126, 149] MovieLens 10M[48] movie 69.",0.0,Neutral
"[40] 2022 Group Single Round Demographic Parity NDCG KL-divergence [94] 2022 Group Single Round Demographic Parity Recommended Times Ratio Diference [68] 2022 Individual Single Round Fairness through awareness Rank-Weighted Exposure Mean Absolute Diference [41] 2022 Group Single Round Demographic Parity Recommended Times KL-divergence [126] 2022 Individual and Group Single Round Demographic Parity NDCG (Customer), Outcome of item(Provider) Discrepancy between two Groups",0.0,Neutral
"0M gender, age, occupation category timestamps ✓ ✓ ✓ [9, 16, 34, 98, 103, 138] [11, 32, 57, 70, 148, 150] [29, 39, 53, 71, 96, 127] [66, 106, 122, 126] MovieLens 20M[48] movie 138.",0.0,Neutral
"Examples include fairness metrics [15, 39, 44], learning-to-rank applications [34, 40, 45, 46], outlier-aware fair ranking [23, 36], online fair ranking [22], and multi-stakeholder fair recommendation [42].",0.0,Neutral
"Few recent works propose a framework to learn the relevance scores considering the joint multi-objective optimization [21, 51].",0.0,Neutral
"[10, 38, 57] draw single permutations from a deterministic ranker by perturbing its scores using the Concrete distribution [36].",0.0,Neutral
"Other works handle multisided fairness criteria [52, 57] and learning fair stochastic policies via the policy-gradient approach [49, 59].",0.0,Neutral
"Since fairness in recommender systems relates to the benefits from multiple stakeholders [144, 154, 155, 156, 157], the request of fairness may come from different sides.",0.0,Neutral
"In recent years, fairness has been widely used in many aspects.[3, 8, 11] use different fairness measurement methods to solve the fairness problem of resource allocation in different fields, and have achieved certain results.",0.0,Neutral
"In recent years, the question of fairness of exposure attracted a lot of attention, and has been mostly studied in a static ranking setting (Geyik et al., 2019; Beutel et al., 2019; Yang & Stoyanovich, 2017; Singh & Joachims, 2018; Patro et al., 2022; Zehlike et al., 2021; Kletti et al., 2022; Diaz et al., 2020; Do & Usunier, 2022; Wu et al., 2022).",0.0,Neutral
"…attracted a lot of attention, and has been mostly studied in a static ranking setting (Geyik et al., 2019; Beutel et al., 2019; Yang & Stoyanovich, 2017; Singh & Joachims, 2018; Patro et al., 2022; Zehlike et al., 2021; Kletti et al., 2022; Diaz et al., 2020; Do & Usunier, 2022; Wu et al., 2022).",0.0,Neutral
"4 Fairness in Recommendation With the increasing attention on the fairness in recommendation [9, 16, 20, 22, 40], there have been numerous attempts to define notions of fairness [19, 30, 33, 35, 47].",0.0,Neutral
"For example, if the system presents its recommendation as a static list of people ranked by their expertise on a topic, small differences in estimated expertise may translate into disparately different levels of exposure, as presentation bias causes people to over-prioritize those at the top of the list [7, 30, 34].",0.0,Neutral
"This means, for instance, including the interuser equity objective into the loss function [26, 55, 56], sometimes through a regularization term [29, 58].",0.0,Neutral
"Reinforcement learning has also been applied to multi-sided fairness, through contextual multi-armed bandits which simultaneously optimize stakeholder utility and fairness objectives (Mehrotra et al., 2020, 2018; Wu et al., 2022).",0.0,Neutral
Granularity* Populational [30] [83] [129] [87] [261] [141] [96] [215] [177] [219] [162] [11] Personalized [131] [223],0.0,Neutral
Side* Single-side [124] [83] [258] [96] [129] [131] [125] [108] [220] [217] [215] [177] Multi-side [37] [2] [168] [169] [222] [218] [25] [159] [219] [162] [143] [197],0.0,Neutral
"The issue of fairness in recommendation has received growing concerns as recommender systems touch and influence people’s daily lives more deeply and profoundly [28, 41, 62].",0.0,Neutral
Granularity Populational [24] [68] [104] [71] [200] [111] [78] [172] [141] [176] [127] [9] Personalized [105] [179],0.0,Neutral
Side Single-side [102] [68] [200] [78] [104] [105] [103] [87] [177] [174] [172] [141] Multi-side [31] [1] [132] [133] [178] [175] [19] [124] [176] [127],0.0,Neutral
704) whereby Black candidates are systematically matched to Black-owned businesses and white candidates are systematically matched to white-owned businesses [214].,0.0,Neutral
"In the government or social services domain, screening tools to identify children at-risk for maltreatment can amplify already-existing biases against poor parents [74, 214].",0.0,Neutral
Crosswalk [Khajehnejad et al. 2021] ✓ ✗ ✗ ✗ ✗ ✗ ✗ ✓ ✗ ✓ ✗ ✓ ✗ ✓,0.0,Neutral
"Along this research path – learning node representations for fair IM – the works that are closest to ours are [16, 17].",0.0,Neutral
The follow-upwork [16] revisits generic algorithms for learning node representations (e.,0.0,Neutral
"The same scalability limits are exhibited by the two state-of-the-art methods on fair IM that do rely on node representation [16, 17], yet learned only from the social connectivity.",0.0,Neutral
"Compared to [16, 17], we revisit IM with fairness under a more flexible formulation, by algorithmic solutions that are applicable to arbitrary sets of sensitive attributes and to large, realistic datasets.",0.0,Neutral
"Crosswalk [16] is a randomwalk based graph representation method, which enhances fairness by re-weighting the edges between nodes from different groups.",0.0,Neutral
"The limitations of [16, 17] are threefold: (i) as they exploit the social connectivity, they incur a high computation cost and cannot reasonably scale; in particular, training the adversarial neural network in [17] grows exponentially with the number of users in the social network, (ii) they assume that the probability of diffusion between a pair of nodes is constant and follows the Markovian assumption, and (iii) they are not generic, i.",0.0,Neutral
[29] serves as a seminal work for fairness-aware random walk-based studies [30].,0.0,Neutral
"[21] propose CrossWalk, a method that enhances fairness in graph algorithms by biasing random walks to cross group boundaries.",0.0,Neutral
"[15] developed Crosswalk, the key idea is to bias random walks to cross group boundaries, which enhances fairness.",0.0,Neutral
"To address the fairness issues, most existing works learn a fair node or graph representation by optimizing adjacency matrices [18], [31], adversarial training [8], or fairness-oriented DeepWalk [15], [24].",0.0,Neutral
"First, some works adapt existing unsupervised graph embedding approaches for fairness (Rahman et al., 2019; Khajehnejad et al., 2021), but it is challenging to accommodate all such models.",0.0,Neutral
"Both of these are widely used by the research community to assess the fairness of machine learning models in graph data [1], [8], [11], [13], [16], [24], [44].",0.0,Neutral
"The remaining parameters are the same as stated in their papers [19], [24], [33].",0.5,Weak
"CrossWalk [24]: This method enhances the fairness of various graph algorithms applied to node embeddings, including influence maximization, link prediction, and node classification.",0.0,Neutral
"The first group of research works focuses on the design of an embedding mechanism that would be fair for the sensitive attribute [8], [24], [33].",0.0,Neutral
"Recent studies on the fairness of GNNs and Node2Vec have also reported similar issues [8], [24], [33].",0.0,Neutral
"On query-/user-induced recommendation networks such as those on Amazon and YouTube, structural bias hinders the discovery of diversified content, reducing serendipity (Ge et al. 2010; Kotkov et al. 2016; Anagnostopoulos et al. 2020).",0.0,Neutral
"On query/user-induced recommendation networks such as those on Amazon and YouTube, structural bias hinders the discovery of diversified content, reducing serendipity (Ge et al. 2010; Kotkov et al. 2016; Anagnostopoulos et al. 2020).",0.0,Neutral
"Recommender systems may also reduce serendipity (Ge et al. 2010; Kotkov et al. 2016; Anagnostopoulos et al. 2020), i.e., the possibility of “stomping” on content/users expressing different opinions.",0.0,Neutral
"Recommender systems may also reduce serendipity (Ge et al. 2010; Kotkov et al. 2016; Anagnostopoulos et al. 2020), i.",0.0,Neutral
[88] also proposed a reweighting method that can be applied to any random walk,0.0,Neutral
"CR – [167] [167] – – [167] – IM [58] [7, 10, 20, 56, 88, 89, 125, 153, 154, 162, 165] [7, 10, 20, 56, 58, 88, 89, 125, 153, 154, 162, 165] – – [7, 10, 20, 56, 58, 88, 89, 125, 153, 154, 162, 165] –",0.0,Neutral
"IBM – – – – – – – CD – [88] [88, 108] – – [88] [108]",0.0,Neutral
"Research Topic Individual fairness Group Fairness Feature-Aware FeatureBlind PreProcessing In-Processing PostProcessing LP [96, 124] [88, 96, 104, 124, 132, 134] [88, 96, 104, 124, 132, 134] – [96] [88, 104, 124, 134] [104, 132]",0.0,Neutral
"Several works, including [56, 88, 104, 108, 124], have highlighted unfairness in different SNA algorithms, i.",0.0,Neutral
[88] used disparity to compare the fairness of node classification methods.,0.0,Neutral
"CrossWalk aims to address the shortcomings of Fairwalk by assigning more weights to both edges that connect nodes Manuscript submitted to ACM
A Survey on Fairness for Machine Learning on Graphs 13
on the boundary of the protected groups, and edges connecting nodes from different groups.",0.0,Neutral
"In the same spirit, CrossWalk [34] is based on a re-weighting procedure for building the random walks and can therefore be used with any random walk based algorithms including DeepWalk [59] and Node2vec [26], to name a few.",0.0,Neutral
"Method Reference Code Pre-processing In training Post-processing Keywords FairOT [41] Github ✓ Optimal Transport, Laplacian regularization FairDrop [65] Github ✓ Edge Drop, Homophily UGE [70] NA ✓ Structural generative graph model FairWalk [60] Github∗ ✓ Random walk CrossWalk [34] Github ✓ Random walk DeBayes [11] Github ✓ Conditional Network Embeddings, Bayeisan prior FIPR [12] Github ✓ I-Projection regularizer CFC [10] Github ✓ Adversarial Learning, Compositional filtering FLIP [50] Github ✓ Adversarial Learning, Modularity DKGE [21] NA ✓ Adversarial, Knowledge graphs FairGNN [17] Github ✓ GNNs, Adversarial Learning FairAdj [45] Github ✓ Graph Neural Networks MONET [58] Github ✓ GNNs, metadata NIFTY [3] Github ✓ GNNs, augmented views, stability InFoRM [31] Github ✓ ✓ ✓",0.5,Weak
"C1 Facebook∗ [63] group, individual 1,034 26,749 224 gender (2) [5], [24], [37], [39], [44], [73], [78], [80] [83], [87], [101], [128], [146], [171] Pokec∗ [142] group 1,632,803 30,622,564 59 region (2), gender (2) [38], [40], [50], [67], [82], [110] Twitter∗ [107] group 81,306 1,768,149 1,364 political opinion (2) [77], [83], [149] Lastfm [27] group, provider 49,900 518,647 gender (2), age (3) [117], [159], [164] Oklahoma97 [126] group 3,111 73,230 8 gender (2) [91] UNC28 [126] group 4,018 65,287 8 gender (2) [91] Google+ [107] popularity 4,938 547,923 5 [101] Epinion [144] popularity 8,806 157,887 [1], [174] Filmtrust [58] provider 3,579 35,494 [99] Ciao [144] popularity 7,317 85,205 [174]",0.0,Neutral
3) Rebalancing in Applications: Recommender Systems: Upsampling is a common rebalancing approach in recommender systems.,0.0,Neutral
Information Flow-Based Rebalancing: Information flowbased rebalancing techniques are commonly adopted to achieve fair influence maximization.,0.0,Neutral
"[77] proposed CrossWalk, which extends the rebalancing range to the whole walk by assigning larger transition probabilities to nodes that are closer to the sensitive groups’ topological peripheries.",0.0,Neutral
Node Sampling/Generation-Based Rebalancing: Rebalancing can also be achieved via node sampling or node generation.,0.0,Neutral
Other Applications: Rebalancing has been adopted to fulfill fairness in real-world applications other than recommender systems.,0.0,Neutral
1) Improving Group Fairness: Edge/Path-Based Rebalancing: A number of works adopt the rebalancing strategy to promote group fairness based on the edges or paths in the input network data.,0.0,Neutral
Rebalancing can also be leveraged to improve user fairness.,0.0,Neutral
"Rebalancing aims to reduce the distribution difference of certain properties (e.g., the appearance rate of a node in random walks and frequency of recommendations of an item) between advantaged and disadvantaged nodes.",0.0,Neutral
"Group Optimization with Regularization [71] Recommendation Optimization with Regularization [67] Node classification Optimization with Regularization [173] Node classification Optimization with Regularization [3] Node classification Optimization with Regularization [24] Link prediction Optimization with Regularization [167] Recommendation Optimization with Regularization [88] Node classification Optimization with Regularization [44] Node classification Optimization with Regularization [110] Node classification Optimization with Regularization [50] Node classification Optimization with Regularization [175] Recommendation Optimization with Regularization [52] Recommendation Optimization with Regularization [156] Link prediction Optimization with Regularization [83] Recommendation Optimization with Regularization [87] Link prediction Optimization with Regularization [21] Recommendation Optimization with Constraint(s) [80] Graph clustering Optimization with Constraint(s) [171] Node classification Optimization with Constraint(s) [45] Influence maximization Optimization with Constraint(s) [123] Influence maximization Optimization with Constraint(s) [124] Influence maximization Optimization with Constraint(s) [5] Influence maximization Rebalancing [128] Link prediction Rebalancing [25] Link prediction Rebalancing [171] Node classification Rebalancing [46] Recommendation Rebalancing [122] Recommendation Rebalancing [149] Node ranking Rebalancing [77] Influence maximization, link prediction, and node classification Rebalancing [146] Influence maximization Rebalancing [138] Influence maximization Rebalancing [148] Influence maximization Rebalancing [82] Node classification Rebalancing [37] Link prediction Adversarial [18] Recommendation Adversarial [38] Node classification Adversarial [78] Influence Maximization Adversarial [164] Recommendation Adversarial [159] Recommendation Adversarial [78] Influence maximization Edge rewiring [91] Node classification Edge rewiring [82] Node classification Edge rewiring [65] Topology debiasing Edge rewiring [40] Node classification Edge rewiring [82] Node classification Edge rewiring [136] Node classification Orthogonal projection [114] Node classification and recommendation Orthogonal projection [113] Node classification and recommendation Orthogonal projection [171] Node classification",0.0,Neutral
"[100] propose a re-weighting approach for generating the random walks, however, they assign more weights to the links that connect nodes from different groups to provide a higher chance of discovery in extreme cases that Rahman et al.",0.0,Neutral
"Repairing Graph [106, 151] Learn Unbiased Embeddings [29, 100, 140]",0.0,Neutral
"…typical accuracy, AUROC, F1-score, average precision as well as true and negative false rate have been widely used to assess predictive performance [Khajehnejad et al., 2021; Spinelli et al., 2021; Zeng et al., 2021; Ma et al., 2022; Tang et al., 2020b; Palowitch and Perozzi, 2020] while stability…",0.0,Neutral
"In terms of evaluation, in addition to the proposed graph fairness notions discussed in Section 4, the typical accuracy, AUROC, F1-score, average precision as well as true and negative false rate have been widely used to assess predictive performance [Khajehnejad et al., 2021; Spinelli et al., 2021; Zeng et al., 2021; Ma et al., 2022; Tang et al., 2020b; Palowitch and Perozzi, 2020] while stability [Agarwal et al.",0.0,Neutral
"Various methods have been proposed in this direction, including adversarial learning based approaches [2, 3, 6, 12, 21, 33], bayesian based approach [4], statistical based approaches [5, 16, 19, 23, 27, 35] and others [20, 22].",0.0,Neutral
"However, only a few studies [19] investigate the unfairness caused by the graph structure without knowing a sensitive feature.",0.0,Neutral
"Crosswalk [33] is also a random walk-based embedding method, but, unlike Fairwalk, extends the range of the weighting including multi-hop neighbors.",0.0,Neutral
"Most of the bias related work focuses on link prediction [32,23,24,49], node classification [33] and recommendation [36,8,45,10] tasks.",0.0,Neutral
"NC REC LP EA Direct Group [33] [36,8,45,10] [32,23,24,36,8,45,33,10,49] [21,31]",0.0,Neutral
"Other than the individual and group level parity based graph fairness [Spinelli et al., 2021; Khajehnejad et al., 2021; Buyl and Bie, 2021], graph causal reasoning fairness has been investigated, particularly graph counterfactual fairness.",0.0,Neutral
"balancing methods, however, improve the overall performance but are usually at the risk of overfitting to the minority classes or the loss of information [52, 36, 20].",0.0,Neutral
"These methods have been shown to increase classification accuracy for DNNs and demonstrated their efficacy on long-tailed data [38, 11, 52, 25].",0.0,Neutral
[52] directly exploit pure noise images as tail class samples.,0.0,Neutral
"A recent approach, OPeN [29], adds pure noise images to the original instances from rare classes.",0.0,Neutral
"The multiple normalization module has been explored to improve the generalization of the model in the field of adversarial training (Xie et al., 2020) and insufficient data (Zada et al., 2022).",0.0,Neutral
"Recently, several studies have suggested using multiple normalization layers in a parallel manner (Pan et al., 2018; Xie et al., 2020; Wang et al., 2021; Zada et al., 2022).",0.0,Neutral
"Besides, the core
algorithmic principle of our CBN is different to that of DAR-BN and Auxiliary BN. DAR-BN and Auxiliary BN essentially depends on a main branch to implement the feature normalization for input images.",0.0,Neutral
"Targeted at preventing pure noise images from distorting the estimation of the feature distribution, DAR-BN [42] splits the mean and variance variables for normal images and pure noise images.",0.0,Neutral
", 2021), perform data-augmentation (Chawla et al., 2002; Müller et al., 2019; Chu et al., 2020; Temraz & Keane, 2022; Zada et al., 2022), ensemble the base classifier (Fan et al.",0.0,Neutral
Existing work focuses on collecting realistic training data [9] and introducing random but realistic noise [10].,0.0,Neutral
"Although DCL does not use any external data, DCL achieved higher accuracy than SKS. 5) We further analyze the impact of the sequence between the two stages.",0.0,Neutral
"Compared with the best-performed baseline model SKS, DCL is superior in terms of both metrics.",0.0,Neutral
This is because SKS used an external sentiment dataset to enhance the performance.,0.0,Neutral
[7] proposed the sentiment knowledge sharing (SKS) model integrated with an insulting word list and multi-task learning to detect hate speech.,0.0,Neutral
"Although achieving promising performance in this task, the SKS model holds a strong assumption that insulting and negative emotions can distinguish between hate speech and non-hate speech.",0.0,Neutral
[7] proposed the sentiment knowledge sharing (SKS) model combined,0.0,Neutral
Zhou et al. [7] proposed the sentiment knowledge sharing (SKS) model integrated with an insulting word list and multi-task learning to detect hate speech.,0.0,Neutral
"Therefore, the SKS model with an insulting word list of hate speech achieved limited performance by overly focusing on the token-level emotional semantics.",0.0,Neutral
"We used the different F1 score metrics on two datasets following existing studies, such as the SOTA baseline model SKS [7] for fair comparisons.",0.5,Weak
"For the DV dataset, we adopt the mean accuracy and the weighted F1 after five-fold cross-validation, and save the parameters corresponding to the optimal model, which follows the settings in previous work [7].",0.5,Weak
SKS: It was proposed by Zhou et al. [7].,0.0,Neutral
[7] proposed the sentiment knowledge sharing (SKS) model combined with a negative word list and multi-task learning for hate speech detection.,0.0,Neutral
"The increasing social issue caused by online hate speech has attracted considerable attention of researchers in the natural language processing (NLP) field, seeking efficient and appropriate solutions to detecting online hate speech [3], [4], [5], [6], [7].",0.0,Neutral
"Furthermore, SKS, benefiting from its sentiment knowledge-sharing mechanism and multi-task learning, achieved the best performance among all the baselines.",0.0,Neutral
"4) On the DV dataset, DCL achieved the best performance by accuracy, and better performance by weighted-F1 than all the baseline models except SKS.",0.0,Neutral
"[25] work, authors developed a multitasking framework utilizing sentiment knowledge for hate speech detection based on multi-head attention and category information of hate words.",0.0,Neutral
"Various studies in social sciences and psychology verify the existence of several cues that can aid in detecting hate [35,10,19,5,45] such as the hater’s prior history, the conversational thread, overall sentiment, and aggression in the text.",0.0,Neutral
[32] incorporated sentiment knowledge into a hate speech detection task by employing a multi-task learning framework.,0.0,Neutral
"Recently, most researchers have utilized methods of deep learning based on the pretrained language model to tackle this problem (Mou et al., 2020; Cao and Lee, 2020; Tekiroglu et al., 2020; Mathew et al., 2021; Zhou et al., 2021a).",0.0,Neutral
"Inspired by Zhou et al. (2021a), we design a toxic embedding to introduce lexical knowledge.",0.0,Neutral
"(Mou et al., 2020; Cao and Lee, 2020; Tekiroglu et al., 2020; Founta et al., 2018; Zhou et al., 2021a; Mathew et al., 2021; Caselli et al., 2020; Hanu and Unitary team, 2020).",0.0,Neutral
"The training data with these markers is often labeled as toxic language, leading to spurious associations in the models (Zhou et al., 2021b).",0.0,Neutral
[63] Applies attention based neural networks and word embedding feature extraction methods for classification.,0.0,Neutral
(3) The multi-task learning framework SKS performs well on both datasets.,0.0,Neutral
11https://github.com/dadangewp/HurtBERT 12https://github.com/1783696285/SKS,0.0,Neutral
"2) Baselines: We compare our framework with five categories of baselines: feature-based models (SVM), neural text classification models (LSTM+ATT, CNN+GRU, BiGRU+Capsule, Transformer), pre-trained language model (Bert, HurtBert), Graph Neural Network (DepGCN), and multi-task model (SKS) for abusive language detection.",0.5,Weak
"[34] constructs a largescale abusive language dataset, on which [45] applies GPT-2 to detect abusive language.",0.0,Neutral
Sentiment Knowledge Sharing (SKS) [45] is a multitask abusive language detection framework based on sentiment knowledge sharing.,0.0,Neutral
